"geoid","geolevel","year","transportation_score","transportation_rnk","transportation_state_rnk"
"05000US16017","county","2019","97.02","53.7084","74.4186"
"05000US16019","county","2019","96.98","53.4527","72.093"
"05000US16021","county","2019","93.58","28.7724","41.8605"
"05000US16023","county","2019","92.82","23.2417","32.5581"
"05000US16025","county","2019","89.96","5.9463","13.9535"
"05000US16027","county","2019","97.19","55.0192","81.3953"
"05000US16029","county","2019","94.08","32.8325","46.5116"
"05000US16031","county","2019","89.5","4.3478","9.3023"
"05000US16033","county","2019","89.61","4.7315","11.6279"
"05000US16035","county","2019","94.82","38.0115","51.1628"
"05000US16037","county","2019","96.77","52.5256","69.7674"
"05000US16039","county","2019","93.1","25.2558","34.8837"
"05000US16041","county","2019","86.81","0.9591","2.3256"
"05000US16043","county","2019","89.02","3.1969","6.9767"
"05000US16045","county","2019","92.53","20.3964","27.907"
"05000US16047","county","2019","92.17","18.4143","25.5814"
"05000US16049","county","2019","96.05","47.4744","60.4651"
"05000US16051","county","2019","92.68","21.9309","30.2326"
"05000US16053","county","2019","92.03","17.2634","18.6047"
"05000US16055","county","2019","96.1","47.7941","62.7907"
"05000US16057","county","2019","106.87","89.2263","100"
"05000US16059","county","2019","93.33","27.3338","39.5349"
"05000US16061","county","2019","95.29","41.8159","58.1395"
"05000US16063","county","2019","96.52","50.9271","67.4419"
"05000US16065","county","2019","100.62","73.2097","93.0233"
"05000US16067","county","2019","87.79","1.4706","4.6512"
"05000US16069","county","2019","97.04","54.0601","76.7442"
"05000US16071","county","2019","85.97","0.5435","0"
"05000US16073","county","2019","93.11","25.3517","37.2093"
"05000US16075","county","2019","94.24","33.9194","48.8372"
"05000US16077","county","2019","91.76","15.4412","16.2791"
"05000US16079","county","2019","97.27","55.6266","83.7209"
"05000US16081","county","2019","96.23","48.977","65.1163"
"05000US16083","county","2019","97.53","57.3849","86.0465"
"05000US16085","county","2019","92.16","18.3824","23.2558"
"05000US16087","county","2019","100.17","71.1317","90.6977"
"05000US17001","county","2019","106.71","89.0345","85.1485"
"05000US17003","county","2019","103.88","84.0473","77.2277"
"05000US17005","county","2019","104.31","84.9105","78.2178"
"05000US17007","county","2019","97.65","58.0563","55.4455"
"05000US17009","county","2019","90.82","9.8465","6.4356"
"05000US17011","county","2019","100.01","70.6522","65.3465"
"05000US17013","county","2019","94.61","36.477","36.6337"
"05000US17015","county","2019","93.96","31.9054","30.6931"
"05000US17017","county","2019","95.67","44.789","44.5545"
"05000US17019","county","2019","119.49","95.812","95.0495"
"05000US17021","county","2019","94.74","37.468","37.6238"
"05000US17023","county","2019","92.62","21.3235","20.7921"
"05000US17025","county","2019","92.86","23.6253","24.7525"
"05000US17027","county","2019","92.64","21.5473","21.7822"
"05000US17029","county","2019","105.6","87.5959","81.6832"
"05000US17031","county","2019","202.02","99.3286","100"
"05000US17033","county","2019","92.34","19.5972","17.8218"
"05000US17035","county","2019","89.39","4.0601","1.9802"
"05000US17037","county","2019","116.33","95.1407","93.0693"
"05000US17039","county","2019","92.06","17.5192","13.8614"
"05000US17041","county","2019","111.91","93.2864","90.099"
"05000US17043","county","2019","160.7","98.4974","99.0099"
"05000US17045","county","2019","93.18","26.2148","28.7129"
"05000US17047","county","2019","93.13","25.6394","27.7228"
"05000US17049","county","2019","98.1","60.8056","57.4257"
"05000US17051","county","2019","92.74","22.6023","23.7624"
"05000US17053","county","2019","97.36","56.202","53.4653"
"05000US17055","county","2019","95.82","45.9399","48.0198"
"05000US17057","county","2019","92.97","24.5524","25.7426"
"05000US17059","county","2019","89.14","3.5806","0.9901"
"05000US17061","county","2019","91.72","15.1854","12.8713"
"05000US17063","county","2019","107.17","89.6419","87.1287"
"05000US17065","county","2019","95.37","42.2954","40.5941"
"05000US17067","county","2019","90.82","9.8465","6.4356"
"05000US17069","county","2019","94.59","36.2852","35.6436"
"05000US17071","county","2019","90.63","8.8875","4.9505"
"05000US17073","county","2019","96.56","51.1829","51.4851"
"05000US17075","county","2019","92.67","21.835","22.7723"
"05000US17077","county","2019","105.29","86.9885","80.198"
"05000US17079","county","2019","92.33","19.4373","16.3366"
"05000US17081","county","2019","96.49","50.6714","50.495"
"05000US17083","county","2019","97.61","57.8005","54.4554"
"05000US17085","county","2019","103.2","82.1611","74.2574"
"05000US17087","county","2019","92.11","17.9028","14.8515"
"05000US17089","county","2019","121.35","96.3235","96.0396"
"05000US17091","county","2019","100.93","74.5205","68.3168"
"05000US17093","county","2019","113.87","94.0537","91.0891"
"05000US17095","county","2019","103.52","83.0882","75.2475"
"05000US17097","county","2019","136.46","97.89","98.0198"
"05000US17099","county","2019","99.56","68.2225","62.3762"
